,Year,Month,Temperature,TemperatureMax,TemperatureMin,Rainfall
0,2019,8,24.1,31.9,15.3,3.56
1,2019,7,24.6,32.3,15.0,0.0
2,2019,6,23.5,31.3,14.6,6.09
3,2019,5,17.3,24.5,8.8,12.96
4,2019,4,9.7,16.0,3.1,127.26
5,2019,3,5.0,11.1,-0.7,111.24
6,2019,2,2.4,9.2,-3.5,33.79
7,2019,1,-0.7,5.5,-5.6,53.08
8,2018,12,2.9,7.9,-1.7,126.75
9,2018,11,6.3,11.1,1.6,46.24
10,2018,10,13.7,21.7,6.3,12.69
11,2018,9,20.1,28.5,10.9,2.29
12,2018,8,24.1,32.3,15.0,0.0
13,2018,7,26.8,35.7,16.9,0.0
14,2018,6,21.9,29.8,13.3,15.49
15,2018,5,15.7,22.0,9.2,43.95
16,2018,4,11.6,17.9,4.2,108.72
17,2018,3,11.0,18.3,3.2,39.87
18,2018,2,3.7,9.6,-1.4,63.0
19,2018,1,0.7,7.0,-4.8,47.0
20,2017,12,1.6,8.5,-4.1,6.35
21,2017,11,6.2,13.0,0.8,37.34
22,2017,10,12.6,20.9,4.4,1.78
23,2017,9,21.1,30.4,11.4,0.0
24,2017,8,25.2,34.5,15.3,0.51
25,2017,7,26.2,34.5,16.9,0.0
26,2017,6,22.7,30.7,12.7,0.0
27,2017,5,17.6,25.2,8.2,13.2
28,2017,4,11.6,18.4,3.7,50.28
29,2017,3,6.2,12.3,0.4,21.84
30,2017,2,-4.3,1.6,-9.7,34.55
31,2017,1,-4.4,0.6,-9.1,4.06
32,2016,12,-2.6,2.5,-7.4,58.41
33,2016,11,3.7,11.8,-2.9,12.45
34,2016,10,11.6,19.8,3.8,13.97
35,2016,9,18.6,27.5,9.2,0.0
36,2016,8,24.5,33.3,14.9,0.0
37,2016,7,24.3,31.6,15.9,5.07
38,2016,6,20.6,28.1,12.5,28.96
39,2016,5,17.0,24.1,9.1,39.37
40,2016,4,12.3,19.0,5.0,57.91
41,2016,3,7.2,13.4,0.8,27.44
42,2016,2,3.9,10.1,-1.8,12.2
43,2016,1,-1.1,4.7,-6.1,57.91
44,2015,12,-3.4,1.0,-7.1,34.3
45,2015,11,5.0,12.0,-0.4,28.95
46,2015,10,13.7,20.8,7.5,36.33
47,2015,9,20.0,28.8,11.6,2.79
48,2015,8,24.1,32.6,14.8,8.89
49,2015,7,25.9,34.1,16.6,0.0
50,2015,6,22.8,31.2,13.7,3.82
51,2015,5,17.0,24.5,8.9,41.91
52,2015,4,12.3,19.5,4.2,9.64
53,2015,3,6.4,13.2,-0.4,16.0
54,2015,2,2.7,9.3,-3.1,23.36
55,2015,1,0.0,7.3,-5.9,3.04
56,2014,12,2.2,7.0,-2.0,6.35
57,2014,11,4.3,10.6,-0.7,18.53
58,2014,10,11.3,18.0,5.3,100.59
59,2014,9,20.2,29.4,10.3,0.51
60,2014,8,25.0,33.7,15.8,0.0
61,2014,7,24.8,32.6,15.6,0.0
62,2014,6,21.8,29.8,12.5,1.77
63,2014,5,17.4,24.7,9.5,50.03
64,2014,4,12.7,19.4,5.0,17.02
65,2014,3,7.8,14.5,1.1,49.02
66,2014,2,0.8,7.6,-5.3,1.26
67,2014,1,-2.5,2.7,-7.2,30.99
68,2013,12,-6.0,-0.4,-10.5,39.89
69,2013,11,7.3,13.4,1.7,42.92
70,2013,10,11.3,19.1,3.0,4.82
71,2013,9,19.2,28.2,9.2,0.0
72,2013,8,22.9,30.4,14.3,0.0
73,2013,7,24.2,31.8,14.9,0.0
74,2013,6,20.9,28.4,12.1,5.59
75,2013,5,15.5,22.0,8.4,55.39
76,2013,4,12.3,19.2,4.6,21.34
77,2013,3,7.5,13.8,0.2,21.07
78,2013,2,3.7,10.1,-2.0,9.65
79,2013,1,-0.3,5.8,-5.2,49.78
